psraid,sample,cnvtsmp,lang,form,usr,usr1,cregion,density3,qs1,rsex,DriverText,DriverDanger,TeenText,TeenTalked,RegretText,Monitored,Spam,SleptPhone,Harassed,SendSext,ReceiveSext
107367,1,1,1,1,S,2,3,2, ,2,N,Y,Y,Y,2,2,1,1,2,2,2
107369,1,1,1,2,R,3,2,1, ,2,N,N,Y,Y,2,2,1,1,2,2,2
107384,1,1,1,2,S,2,2,3, ,2,Y,Y, , ,2,2,2,1,2,2,2
107386,1,1,1,2,S,2,1,4, ,2,N,N,Y,Y,1,1,1,1,2,2,2
107416,1,1,1,1,S,2,3,3, ,1,N,N, , ,2,2,1,1,2,2,2
107430,1,1,1,2,S,2,3,4, ,2,N,N, , , , , , , , , 
107499,1,1,1,2,U,1,1,5, ,2,N,Y, , ,2,2,1,1,2,2,2
107523,1,1,1,2,R,3,4,3, ,1,N,N,N,N,1,2,2,1,2,2,2
107541,1,1,1,1,U,1,2,4, ,1,N,N, , , , , , , , , 
107544,1,1,1,1,S,2,3,4, ,2,Y,Y, , ,1,2,1,1,2,1,1
107597,1,1,1,2,S,2,3,2, ,2,Y,Y, , ,1,1,1,1,2,2,2
107612,1,1,1,2,S,2,3,2, ,2,N,Y,N,N,1,2,2,1,1,2,2
107625,1,1,1,2,U,1,1,5, ,1,Y,N, , ,2,2,1,1,2,2,2
107667,1,1,1,2,U,1,1,5, ,2,Y,Y, , , ,2, ,1,2,2,2
107683,1,1,1,1,R,3,4,1, ,2,N,N,N,N,2,1,1,1,2,2,2
107685,1,1,1,2,S,2,3,4, ,2,Y,N, , ,2,2,2,1,2,2,2
107702,1,1,1,1,S,2,1,4, ,2,Y,N, , ,2,2,1,1,2,2,2
107817,1,1,1,1,R,3,2,1, ,2,Y,Y, , ,2,2,2,2,2,2,2
107847,1,1,1,1,R,3,4,1, ,2,Y,Y, , ,1,2,2,1,1,2,2
107869,1,1,1,2,U,1,3,2, ,2,Y,Y, , ,1,1,2,1,2,2,2
107907,1,1,1,2,S,2,1,4, ,1,Y,N,Y,Y,2,1,1,1,1,2,2
107911,1,1,1,2,R,3,2,1, ,1,N,N, , , , , , , , , 
107939,1,1,1,2,R,3,4,1, ,2,Y,Y,Y,Y,2,1,2,1,2,2,2
107946,1,1,1,2,R,3,4,1, ,2,N,Y, , ,2,2,2,1,2,2,2
107957,1,1,1,1,R,3,3,1, ,1,Y,Y,Y,Y,1,8,2,1,1,2,2
107972,1,1,1,2,S,2,1,3, ,2,Y,Y, , ,2,2,2,2,2,2,2
107986,1,1,1,1,S,2,2,4, ,2,N,Y, , ,2,2,2,1,2,2,2
107989,1,1,1,1,U,1,3,4, ,2,N,N,Y,Y,2,2,2,1,1,2,2
107992,1,1,1,2,R,3,2,2, ,2,Y,Y, , ,2,2,2,1,2,2,2
108015,1,1,1,2,S,2,3,3, ,2,N,N,N,N,1,2,1,1,1,2,2
108066,1,1,1,2,S,2,3,4, ,2,Y,N, , ,2,2,1,1,2,2,2
108070,1,1,1,2,S,2,1,4, ,2,Y,Y, , ,2,2,1,2,2,2,2
108084,1,1,1,2,S,2,4,3, ,1,N,N,Y,N,2,2,2,1,2,2,2
108145,1,1,1,2,S,2,1,4, ,1,Y,Y, , , , , , , , , 
108204,1,1,1,1,S,2,3,1, ,1,Y,Y, , ,2,2,2,1,2,2,2
108228,1,1,1,1,U,1,3,3, ,2,Y,Y, , , , , , , , , 
108280,1,1,1,2,R,3,1,1, ,2,Y,Y, , , , , , , , , 
108288,1,1,1,1,S,2,2,3, ,2,Y,Y, , , , , , , , , 
108324,1,1,1,1,R,3,2,1, ,1,Y,Y, , , , , , , , , 
108332,1,1,1,2,S,2,2,1, ,1,N,Y, , ,2,1,2,1,2,2,2
108344,1,1,1,2,R,3,4,1, ,2,N,Y, , ,1,2,2,1,2,2,2
108349,1,1,1,2,U,1,4,5, ,1,N,N,Y,Y,2,2,1,2,2,2,2
108412,1,1,1,2,S,2,2,1, ,2,N,N, ,N, ,2, ,1,2,2,2
108422,1,1,1,1,S,2,1,1, ,2,N,N,N,N,2,1,1,1,1,2,2
108432,1,1,1,1,R,3,3,1, ,1,Y,Y, , , ,1, ,1,2,2,2
108530,1,1,1,2,R,3,3,1, ,1,Y,N, , , , , , , , , 
108556,1,1,1,1,S,2,3,1, ,1,N,N, , , , , , , , , 
108583,1,1,1,1,S,2,2,2, ,2,N,N, , ,1,1,2,1,1,2,2
108622,1,1,1,1,U,1,3,3, ,2,Y,Y, , ,2,2,2,1,2,2,2
108645,1,1,1,2,S,2,4,2, ,2,N,Y, , , ,2, ,1,2,2,2
108671,1,1,1,1,S,2,2,1, ,1,N,Y,Y,N,1,1,1,1,1,1,1
108710,1,1,1,1,U,1,3,2, ,2,N,N, , , , , , , , , 
108740,1,1,1,1,S,2,4,2, ,2,Y,N, , ,2,8,2,1,2,2,2
108752,1,1,1,1,S,2,1,4, ,2,Y,N,Y,Y,2,8,1,1,2,2,2
108777,1,1,1,2,S,2,1,5, ,1,N,N,Y,Y,2,2,1,1,1,2,2
108813,1,1,1,1,S,2,4,4, ,2,Y,Y, , , , , , , , , 
108846,1,1,1,2,U,1,4,2, ,2,N,N,N,Y,1,2,2,1,2,2,2
108848,1,1,1,2,R,3,2,1, ,1,N,N, , ,1,2,1,1,1,2,1
108870,1,1,1,1,R,3,2,1, ,2,Y,Y, , , , , , , , , 
108919,1,1,1,2,U,1,4,1, ,2,9,9, , ,2,1,2,1,2,2,2
108920,1,1,1,1,U,1,4,1, ,1,N,N, , ,1,2,2,1,2,2,2
108978,1,1,1,2,S,2,4,1, ,1,Y,Y, , , , , , , , , 
109046,1,1,1,2,U,1,3,2, ,2,N,N, , ,1,2,2,1,2,2,2
109076,1,1,1,2,R,3,2,2, ,1,Y,Y, , ,1,2,2,1,2,2,2
109115,1,1,1,1,S,2,4,4, ,2,Y,N, , , ,2, ,2,2,2,2
109125,1,1,1,1,R,3,3,1, ,2,N,Y, , ,2,2,2,2,2,2,2
109131,1,1,1,2,S,2,4,1, ,2,Y,Y, , , , , , , , , 
109157,1,1,1,1,U,1,4,1, ,1,Y,N,Y,N,2,2,1,1,1,2,1
109161,1,1,1,2,U,1,2,5, ,1,N,Y, , , , , , , , , 
109176,1,1,1,2,R,3,4,1, ,2,N,Y,N,N,2,2,1,1,2,2,2
109219,1,1,1,2,S,2,3,1, ,1,N,N, , , , , , , , , 
109240,1,1,1,2,S,2,4,4, ,2,N,Y,N,N,2,2,1,1,2,2,1
109253,1,1,1,1,U,1,3,5, ,1,Y,Y, , ,1,2,2,1,2,2,2
109289,1,1,1,2,S,2,4,1, ,2,Y,N, , , , , , , , , 
109290,1,1,1,2,S,2,4,1, ,2,Y,Y, , ,2,2,1,1,2,9,9
109292,1,1,1,1,U,1,4,2, ,2,N,Y, , ,2,2,2,1,2,2,2
109304,1,1,1,2,S,2,4,3, ,2,Y,Y, , ,1,2,1,1,2,2,2
109310,1,1,1,1,U,1,4,1, ,2,Y,Y, , , , , , , , , 
109321,1,1,1,1,S,2,1,3, ,2,Y,Y, , , , , , , , , 
109379,1,1,1,1,S,2,1,5, ,1,Y,N, , , , , , , , , 
109496,1,1,1,2,S,2,1,4, ,1,Y,N,Y,Y,1,2,2,1,2,2,2
109497,1,1,1,2,S,2,3,2, ,2,N,N,N,N,1,2,2,1,2,2,1
109565,1,1,1,1,R,3,2,2, ,2,Y,8, , ,2,2,2,1,2,2,2
109567,1,1,1,2,S,2,2,3, ,1,N,Y,N,N,1,2,2,1,2,2,2
109575,1,1,1,1,R,3,2,1, ,2,N,Y, , ,1,2,1,1,1,2,1
109617,1,1,1,1,S,2,4,2, ,1,N,N, , ,1,2,1,1,1,2,1
109638,1,1,1,1,U,1,1,5, ,1,N,N, , , , , , , , , 
109686,1,1,1,2,S,2,2,3, ,2,Y,N, ,Y, ,2, ,1,2,2,2
109706,1,1,1,1,S,2,3,3, ,1,N,N,Y,Y,1,2,1,1,2,2,2
109729,1,1,1,2,U,1,3,4, ,2,N,N, , , , , , , , , 
109769,1,1,1,1,S,2,3,4, ,2,Y,Y,Y,Y,2,2,1,1,2,2,2
109775,1,1,1,2,S,2,4,2, ,2,N,N, , , , , , , , , 
109795,1,1,1,1,U,1,1,5, ,2,Y,Y, , ,2,1,2,1,2,2,2
109814,1,1,1,2,U,1,4,4, ,2,Y,Y, , ,1,2,1,1,1,2,2
109848,1,1,1,1,R,3,2,1, ,1,N,N, , ,1,2,2,1,2,2,2
109851,1,1,1,1,R,3,4,1, ,2,Y,Y, , ,2,2,2,1,1,2,2
109859,1,1,1,1,S,2,4,3, ,1,Y,Y, , ,2,1,2,2,2,2,2
109902,1,1,1,2,S,2,1,5, ,2,Y,Y, ,Y, ,1, ,1,2,2,2
109919,1,1,1,2,S,2,3,3, ,1,N,N, , ,2,8,2,1,2,2,2
109936,1,1,1,2,S,2,1,4, ,1,Y,Y,Y,Y,2,2,2,1,2,2,2
109960,1,1,1,1,U,1,2,2, ,2,N,Y, , ,1,2,1,1,1,2,2
109983,1,1,1,2,S,2,1,3, ,1,N,N, , , ,2, ,1,1,2,2
110003,1,1,1,1,U,1,2,5, ,2,Y,Y, , , ,2, ,2,2,2,2
110006,1,1,1,1,U,1,2,5, ,2,Y,Y, , , , , , , , , 
110020,1,1,1,2,S,2,4,2, ,2,Y,Y, , ,2,1,2,1,2,2,2
110022,1,1,1,1,U,1,4,2, ,2,Y,Y,Y,Y,2,2,2,2,2,2,2
110041,1,1,1,2,S,2,4,3, ,1,N,N,Y,N,2,2,2,1,2,2,2
110080,1,1,1,2,R,3,3,1, ,1,Y,Y, , ,2,2,2,1,2,2,2
110106,1,1,1,2,R,3,3,1, ,2,N,Y, , ,1,1,1,1,1,2,2
110111,1,1,1,1,U,1,3,3, ,1,N,N, , ,1,1,1,1,1,2,2
110116,1,1,1,2,S,2,2,1, ,1,Y,Y, , , ,2, ,1,2,2,2
110131,1,1,1,1,U,1,3,3, ,1,Y,N, , , , , , , , , 
110138,1,1,1,1,S,2,2,3, ,2,Y,Y,Y,N,2,2,1,1,2,2,2
110177,1,1,1,2,S,2,3,2, ,1,N,N, , ,1,2,1,1,1,2,2
110306,1,1,1,1,S,2,4,2, ,2,N,N, , ,1,2,1,1,2,2,2
110328,1,1,1,1,R,3,3,1, ,1,Y,Y, , , , , , , , , 
110357,1,1,1,1,R,3,3,2, ,2,N,N,Y,N,2,2,1,1,1,2,2
110375,1,1,1,1,R,3,3,1, ,2,Y,Y, , , , , , , , , 
110383,1,1,1,2,U,1,2,1, ,1,Y,N, , ,2,2,1,2,2,2,2
110388,1,1,1,1,R,3,2,1, ,2,N,N,Y,Y,1,2,1,1,1,1,1
110396,1,1,1,1,S,2,3,1, ,1,N,Y,N,N,2,2,1,1,2,2,2
110408,1,1,1,1,S,2,3,2, ,2,N,N, , ,1,2,2,1,1,2,2
110428,1,1,1,1,S,2,4,4, ,2,N,N,Y,N,2,2,1,1,2,2,2
110435,1,1,1,2,U,1,4,3, ,1,N,N,Y,Y,2,2,1,2,2,2,2
110440,1,1,1,1,S,2,2,2, ,2,Y,Y,Y,N,2,2,1,2,2,1,1
110444,1,1,1,2,S,2,4,2, ,1,Y,Y, , ,1,2,2,1,1,2,2
110448,1,1,1,2,S,2,4,2, ,2,Y,Y, , ,1,2,2,1,2,2,2
110454,1,1,1,2,S,2,3,4, ,1,N,N, , ,1,8,1,1,2,1,1
110535,1,1,1,1,R,3,3,1, ,2,Y,Y, , ,2,2,1,1,1,2,2
110582,1,1,1,1,S,2,3,4, ,1,N,N, , ,1,1,2,1,2,2,2
110593,1,1,1,2,S,2,3,3, ,1,N,N,N,N,1,1,2,1,1,2,1
110621,1,1,1,1,U,1,4,5, ,2,N,Y,Y,Y,2,2,2,1,2,2,2
110728,1,1,1,2,U,1,4,5, ,1,Y,Y, , ,2,2,2,1,2,2,2
110729,1,1,1,1,U,1,4,1, ,2,N,N, , , , , , , , , 
110775,1,1,1,1,S,2,2,3, ,1,Y,N,Y,Y,2,2,2,2,2,2,2
110794,1,1,1,2,S,2,3,2, ,1,Y,Y, , ,1,2,2,1,2,2,2
110834,1,1,1,2,R,3,1,2, ,2,Y,Y, , ,2,2,1,2,2,2,2
110836,1,1,1,1,R,3,4,2, ,2,Y,Y, , , , , , , , , 
110854,1,1,1,1,S,2,3,2, ,2,Y,Y, , ,1,2,1,1,1,2,1
110856,1,1,1,1,S,2,3,5, ,2,Y,Y, , ,2,2,1,1,2,2,2
110917,1,1,1,1,S,2,4,1, ,2,Y,N, , , , , , , , , 
110928,1,1,1,1,S,2,1,4, ,2,Y,Y, , , , , , , , , 
110936,1,1,1,1,S,2,1,3, ,1,Y,Y, , , ,2, ,2,2,2,2
110976,1,1,1,2,R,3,3,1, ,1,Y,Y, , , , , , , , , 
110977,1,1,1,2,S,2,1,4, ,2,Y,Y, , ,1,2,2,1,2,2,2
110996,1,1,1,1,S,2,2,3, ,2,N,Y,Y,N,2,2,1,1,2,2,2
111059,1,1,1,1,S,2,2,4, ,2,N,N,Y,Y,1,2,1,1,1,2,1
111060,1,1,1,2,U,1,3,2, ,1,Y,N, , , , , , , , , 
111063,1,1,1,2,S,2,2,1, ,2,Y,Y, , ,1,1,1,1,2,2,1
111072,1,1,1,2,S,2,4,3, ,2,Y,Y,Y,Y,1,1,2,1,2,2,2
111107,1,1,1,2,R,3,3,1, ,2,Y,Y,Y,N,2,2,1,1,2,2,2
111128,1,1,1,2,S,2,3,3, ,2,N,N,Y,N,1,2,1,1,1,2,1
111179,1,1,1,1,S,2,3,3, ,2,N,N, , ,2,2,1,1,1,2,2
111186,1,1,1,2,S,2,1,4, ,1,Y,Y,Y,Y,2,2,1,2,2,2,2
111190,1,1,1,1,S,2,2,5, ,2,Y,Y, , ,1,2,1,1,2,2,1
111199,1,1,1,2,S,2,1,3, ,2,N,Y,Y,Y,2,1,2,2,2,2,2
111237,1,1,1,1,S,2,3,3, ,2,Y,N, ,Y, ,2, ,2,2,2,2
111250,1,1,1,2,S,2,1,4, ,1,Y,N, , ,2,2,1,1,2,2,2
111278,1,1,1,1,S,2,4,4, ,2,Y,N, , ,2,1,2,1,2,2,2
111295,1,1,1,1,S,2,4,2, ,2,Y,Y, , ,1,2,1,1,2,2,2
111318,1,1,1,1,R,3,3,1, ,1,Y,Y, , ,1,2,1,1,1,2,1
111391,1,1,1,1,U,1,2,2, ,2,N,N, , ,2,2,2,1,2,2,2
111421,1,1,1,2,R,3,2,1, ,1,N,Y, , , , , , , , , 
111425,1,1,1,2,U,1,2,3, ,1,N,Y, , ,1,2,2,1,1,2,2
111464,1,1,1,2,S,2,3,1, ,1,N,N, , ,1,2,1,1,2,2,2
111505,1,1,1,2,S,2,1,4, ,1,N,N,Y,Y,1,2,1,1,2,2,1
111522,1,1,1,2,S,2,1,4, ,2,Y,N, , ,1,2,1,1,2,2,2
111528,1,1,1,1,S,2,3,4, ,1,N,N, , ,1,2,1,1,2,2,2
111538,1,1,1,2,U,1,3,4, ,1,N,Y,Y,N,2,2,2,1,2,2,2
111560,1,1,1,1,U,1,4,1, ,1,Y,N, , ,2,2,1,2,2,2,2
111633,1,1,1,2,S,2,3,2, ,1,N,N,N,N,1,2,1,1,2,2,1
111661,1,1,1,2,S,2,1,4, ,2,Y,N, ,Y, ,2, ,2,2,2,2
111720,1,1,1,1,S,2,1,3, ,2,Y,Y, , ,2,2,2,1,2,2,2
111733,1,1,1,1,U,1,4,4, ,1,Y,Y, , , , , , , , , 
200006,2,2,1,2, , ,2,5,2,2,Y,N, , ,1,2,1,1,1,2,2
200026,2,2,1,1, , ,3,5,2,1,Y,N, , ,1,2,1,1,2,2,2
200027,2,2,1,1, , ,1,1,2,1,N,Y, , ,1,2,1,1,2,2,2
200029,2,2,1,2, , ,3,4,2,1,N,N,Y,Y,2,2,1,2,1,2,1
200061,2,2,1,2, , ,3,3,2,2,Y,Y, , , , , , , , , 
200063,2,2,1,2, , ,1,3,2,2,N,N, , ,1,2,1,1,2,2,1
200071,2,2,1,1, , ,3,3,2,1,N,Y, , ,1,2,1,1,1,2,1
200085,2,2,1,1, , ,3,3,2,2,Y,Y, , , , , , , , , 
200120,2,2,1,2, , ,2,5,2,2,Y,Y,Y,Y,2,2,1,1,2,2,2
200154,2,2,1,1, , ,3,1,2,1,Y,Y, , , , , , , , , 
200155,2,2,1,1, , ,2,4,2,2,N,N,Y,Y,1,1,1,1,2,2,2
200178,2,2,1,2, , ,2,2,2,2,N,N, , , , , , , , , 
200271,2,2,1,2, , ,3,4,2,2,Y,Y, ,Y, ,2, ,2,2,2,2
200278,2,2,1,2, , ,3,3,2,2,N,Y,Y,Y,2,2,2,1,2,2,2
200358,2,2,1,2, , ,3,4,2,2,Y,Y, , , , , , , , , 
200379,2,2,1,1, , ,3,3,2,1,Y,Y, ,N, ,2, ,1,2,2,2
200414,2,2,1,2, , ,2,5,2,2,N,N,Y,Y,1,2,2,1,1,2,1
200436,2,2,1,1, , ,3,1,2,2,N,N,N,N,2,2,2,1,1,2,2
200472,2,2,1,1, , ,3,4,2,2,N,N, , ,1,1,1,1,2,2,1
200527,2,2,1,2, , ,3,4,2,1,Y,Y, , ,1,2,1,1,2,2,1
200572,2,2,1,1, , ,3,3,2,2,N,Y, , , , , , , , , 
200580,2,2,1,2, , ,3,1,2,2,N,N,N,N,1,2,1,1,2,1,1
200584,2,2,1,2, , ,1,2,2,2,Y,Y, , , , , , , , , 
200606,2,2,1,2, , ,3,1,2,1,N,Y, , ,2,2,1,2,8,2,2
200657,2,2,1,2, , ,4,1,2,1,Y,Y, , , ,2, ,2,2,2,2
200698,2,2,1,1, , ,3,4,2,1,N,N,N,N,1,2,2,1,2,2,2
200719,2,2,1,2, , ,2,1,2,2,Y,Y, , , ,2, ,1,2,2,2
200723,2,1,1,2,S,2,4,3,2,2,N,Y,Y,Y,2,8,1,1,2,2,2
200735,2,2,1,2, , ,3,4,2,2,N,N,N,N,1,1,1,1,1,2,2
200785,2,1,1,2,U,1,3,5,2,1,N,N, , ,1,1,1,1,1,2,2
200798,2,2,1,2, , ,4,5,2,1,N,Y, , ,2,2,2,1,2,2,2
200816,2,2,1,2, , ,4,5,2,2,Y,Y, , ,1,2,1,1,2,2,2
200879,2,2,1,1, , ,3,2,2,2,N,Y,Y,Y,2,1,1,1,1,2,1
200902,2,2,1,1, , ,3,4,2,1,N,Y,N,N,2,2,1,1,2,2,1
200912,2,2,1,2, , ,1,4,2,2,Y,N, , , , , , , , , 
200913,2,2,1,2, , ,1,3,2,1,N,Y, , ,1,2,1,1,1,2,2
200949,2,1,1,2,R,3,3,2,2,2,N,Y, , ,1,2,1,1,2,2,2
200996,2,2,1,1, , ,3,4,2,2,N,Y, , ,2,2,2,1,2,2,2
201052,2,2,1,2, , ,1,4,2,1,N,N, , ,1,2,1,1,2,2,2
201128,2,2,1,2, , ,3,3,2,2,N,N, , , , , , , , , 
201137,2,2,1,1, , ,3,5,2,2,N,Y, , ,1,2,1,1,2,2,2
201144,2,2,1,1, , ,3,2,2,1,Y,Y, , ,1,1,1,2,1,2,2
201170,2,2,1,2, , ,2,1,2,1,Y,Y, , , ,2, ,2,2,2,2
201171,2,2,1,1, , ,3,1,2,1,N,N, , , , , , , , , 
201223,2,2,1,1, , ,4,4,2,1,N,N, , , , , , , , , 
201229,2,2,1,1, , ,3,1,2,2,N,Y,N,N,1,2,1,1,2,2,2
201241,2,2,1,1, , ,3,1,2,2,N,N,N,N,1,2,2,1,2,2,2
201262,2,2,1,2, , ,2,3,2,1,Y,N, , , , , , , , , 
201355,2,2,1,2, , ,3,3,2,1,N,N, , ,1,2,1,1,2,2,2
201387,2,2,1,1, , ,2,2,2,1,Y,Y,Y,Y,2,2,1,2,2,2,2
201425,2,2,1,2, , ,3,1,2,1,Y,Y, , , ,2, ,1,2,2,2
201544,2,2,1,2, , ,1,1,2,2,Y,Y, , ,1,2,1,1,1,2,2
201556,2,2,1,1, , ,1,4,2,1,Y,Y,Y,N,1,2,2,1,2,2,1
201559,2,2,1,1, , ,1,3,2,2,Y,Y, , ,2,2,2,1,2,2,2
201606,2,2,1,1, , ,3,2,2,1,Y,Y, , , , , , , , , 
201627,2,2,1,2, , ,4,1,2,1,Y,Y, , , , , , , , , 
201658,2,2,1,2, , ,2,2,2,1,Y,N, , ,1,2,2,1,2,2,2
201667,2,2,1,1, , ,3,2,2,2,N,Y,N,N,2,2,2,1,2,2,2
201686,2,2,1,2, , ,2,1,2,2,Y,N,Y,Y,2,2,2,1,2,2,2
201698,2,2,1,1, , ,2,3,2,2,N,N, , ,1,1,2,1,1,1,1
201701,2,2,1,2, , ,2,1,2,2,N,N,N,N,1,2,1,1,1,2,2
201738,2,2,1,1, , ,2,1,2,1,Y,N, , , , , , , , , 
201765,2,2,1,1, , ,3,2,2,2,Y,Y, , ,2,1,2,1,2,2,2
201860,2,2,1,2, , ,4,2,2,2,Y,Y,Y,Y,2,2,2,1,2,2,2
201871,2,2,1,1, , ,4,3,2,2,N,N,N,N,1,2,2,1,1,2,1
201904,2,2,1,2, , ,3,2,2,1,N,N, , ,1,2,2,1,1,2,1
201906,2,2,1,2, , ,1,2,2,1,Y,Y, , , , , , , , , 
201912,2,2,1,2, , ,3,3,2,2,N,Y, , ,2,2,2,2,2,2,2
201919,2,2,1,2, , ,1,1,2,1,N,N, , ,1,2,2,1,1,2,2
